calleeService,serviceCallingDate,serviceDelay,responseCode,amount_service_parameter,callerService
8,20171126T112300,3441,2,501,1
8,20171126T112300,3441,2,501,1
8,20171126T112300,3441,2,501,1
8,20171126T112300,3441,2,501,1
8,20171126T112300,3441,2,501,1
8,20171126T112300,3441,2,501,1
8,20171126T112300,3441,2,501,1
8,20171126T112300,3441,2,501,1
8,20171126T112300,3441,2,501,1
8,20171126T112300,3441,2,501,1
8,20171126T112300,3441,2,501,1
8,20171126T112300,3441,2,501,1
8,20171126T112300,3441,2,501,1
8,20171126T112300,3441,2,501,1
8,20171126T112300,3441,2,501,1
8,20171126T112300,3441,2,501,1
8,20171126T112300,3441,2,501,1
8,20171126T112300,3441,2,501,1
15,20171126T115914,800,1,971,10
15,20171126T115914,800,1,971,10
15,20171126T115914,800,1,971,10
15,20171126T115914,800,1,971,10
15,20171126T115914,800,1,971,10
15,20171126T115914,800,1,971,10
15,20171126T115914,800,1,971,10
15,20171126T115914,800,1,971,10
15,20171126T115914,800,1,971,10
15,20171126T115914,800,1,971,10
15,20171126T115914,800,1,971,10
15,20171126T115914,800,1,971,10
15,20171126T115914,800,1,971,10
15,20171126T115914,800,1,971,10
15,20171126T115914,800,1,971,10
15,20171126T115914,800,1,971,10
15,20171126T115914,800,1,971,10
15,20171126T115914,800,1,971,10
15,20171126T115914,800,1,971,10
15,20171126T115914,800,1,971,10
16,20171126T112526,4758,2,2,8
16,20171126T112526,4758,2,2,8
16,20171126T112526,4758,2,2,8
16,20171126T112526,4758,2,2,8
16,20171126T112526,4758,2,2,8
16,20171126T112526,4758,2,2,8
16,20171126T112526,4758,2,2,8
16,20171126T112526,4758,2,2,8
16,20171126T112526,4758,2,2,8
16,20171126T112526,4758,2,2,8
16,20171126T112526,4758,2,2,8
16,20171126T112526,4758,2,2,8
16,20171126T112526,4758,2,2,8
16,20171126T112526,4758,2,2,8
16,20171126T112526,4758,2,2,8
16,20171126T112526,4758,2,2,8
16,20171126T112526,4758,2,2,8
16,20171126T112526,4758,2,2,8
16,20171126T112526,4758,2,2,8
16,20171126T112526,4758,2,2,8
6,20171126T121229,4310,2,372,10
6,20171126T121229,4310,2,372,10
6,20171126T121229,4310,2,372,10
6,20171126T121229,4310,2,372,10
6,20171126T121229,4310,2,372,10
6,20171126T121229,4310,2,372,10
6,20171126T121229,4310,2,372,10
6,20171126T121229,4310,2,372,10
6,20171126T121229,4310,2,372,10
6,20171126T121229,4310,2,372,10
6,20171126T121229,4310,2,372,10
6,20171126T121229,4310,2,372,10
6,20171126T121229,4310,2,372,10
6,20171126T121229,4310,2,372,10
6,20171126T121229,4310,2,372,10
6,20171126T121229,4310,2,372,10
6,20171126T121229,4310,2,372,10
6,20171126T121229,4310,2,372,10
6,20171126T121229,4310,2,372,10
6,20171126T121229,4310,2,372,10
13,20171126T115915,338,2,639,15
13,20171126T115915,338,2,639,15
13,20171126T115915,338,2,639,15
13,20171126T115915,338,2,639,15
13,20171126T115915,338,2,639,15
13,20171126T115915,338,2,639,15
13,20171126T115915,338,2,639,15
13,20171126T115915,338,2,639,15
13,20171126T115915,338,2,639,15
13,20171126T115915,338,2,639,15
13,20171126T115915,338,2,639,15
13,20171126T115915,338,2,639,15
13,20171126T115915,338,2,639,15
13,20171126T115915,338,2,639,15
13,20171126T115915,338,2,639,15
13,20171126T115915,338,2,639,15
13,20171126T115915,338,2,639,15
13,20171126T115915,338,2,639,15
13,20171126T115915,338,2,639,15
13,20171126T115915,338,2,639,15
6,20171126T114811,1810,1,577,11
6,20171126T114811,1810,1,577,11
6,20171126T114811,1810,1,577,11
6,20171126T114811,1810,1,577,11
6,20171126T114811,1810,1,577,11
6,20171126T114811,1810,1,577,11
6,20171126T114811,1810,1,577,11
6,20171126T114811,1810,1,577,11
6,20171126T114811,1810,1,577,11
6,20171126T114811,1810,1,577,11
6,20171126T114811,1810,1,577,11
6,20171126T114811,1810,1,577,11
6,20171126T114811,1810,1,577,11
6,20171126T114811,1810,1,577,11
6,20171126T114811,1810,1,577,11
6,20171126T114811,1810,1,577,11
6,20171126T114811,1810,1,577,11
6,20171126T114811,1810,1,577,11
6,20171126T114811,1810,1,577,11
6,20171126T114811,1810,1,577,11
20,20171126T113135,822,1,501,15
20,20171126T113135,822,1,501,15
20,20171126T113135,822,1,501,15
20,20171126T113135,822,1,501,15
20,20171126T113135,822,1,501,15
20,20171126T113135,822,1,501,15
20,20171126T113135,822,1,501,15
20,20171126T113135,822,1,501,15
20,20171126T113135,822,1,501,15
20,20171126T113135,822,1,501,15
20,20171126T113135,822,1,501,15
20,20171126T113135,822,1,501,15
20,20171126T113135,822,1,501,15
20,20171126T113135,822,1,501,15
20,20171126T113135,822,1,501,15
20,20171126T113135,822,1,501,15
20,20171126T113135,822,1,501,15
20,20171126T113135,822,1,501,15
20,20171126T113135,822,1,501,15
20,20171126T113135,822,1,501,15
10,20171126T115859,2665,2,372,1
10,20171126T115859,2665,2,372,1
10,20171126T115859,2665,2,372,1
10,20171126T115859,2665,2,372,1
10,20171126T115859,2665,2,372,1
10,20171126T115859,2665,2,372,1
10,20171126T115859,2665,2,372,1
10,20171126T115859,2665,2,372,1
10,20171126T115859,2665,2,372,1
10,20171126T115859,2665,2,372,1
10,20171126T115859,2665,2,372,1
10,20171126T115859,2665,2,372,1
10,20171126T115859,2665,2,372,1
10,20171126T115859,2665,2,372,1
10,20171126T115859,2665,2,372,1
10,20171126T115859,2665,2,372,1
10,20171126T115859,2665,2,372,1
10,20171126T115859,2665,2,372,1
10,20171126T115859,2665,2,372,1
10,20171126T115859,2665,2,372,1
9,20171126T114914,3569,2,606,16
9,20171126T114914,3569,2,606,16
9,20171126T114914,3569,2,606,16
9,20171126T114914,3569,2,606,16
9,20171126T114914,3569,2,606,16
9,20171126T114914,3569,2,606,16
9,20171126T114914,3569,2,606,16
9,20171126T114914,3569,2,606,16
9,20171126T114914,3569,2,606,16
9,20171126T114914,3569,2,606,16
9,20171126T114914,3569,2,606,16
9,20171126T114914,3569,2,606,16
9,20171126T114914,3569,2,606,16
9,20171126T114914,3569,2,606,16
9,20171126T114914,3569,2,606,16
9,20171126T114914,3569,2,606,16
9,20171126T114914,3569,2,606,16
9,20171126T114914,3569,2,606,16
9,20171126T114914,3569,2,606,16
9,20171126T114914,3569,2,606,16
5,20171126T114506,795,1,582,6
5,20171126T114506,795,1,582,6
5,20171126T114506,795,1,582,6
5,20171126T114506,795,1,582,6
5,20171126T114506,795,1,582,6
5,20171126T114506,795,1,582,6
5,20171126T114506,795,1,582,6
5,20171126T114506,795,1,582,6
5,20171126T114506,795,1,582,6
5,20171126T114506,795,1,582,6
5,20171126T114506,795,1,582,6
5,20171126T114506,795,1,582,6
5,20171126T114506,795,1,582,6
5,20171126T114506,795,1,582,6
5,20171126T114506,795,1,582,6
5,20171126T114506,795,1,582,6
5,20171126T114506,795,1,582,6
5,20171126T114506,795,1,582,6
5,20171126T114506,795,1,582,6
5,20171126T114506,795,1,582,6
19,20171126T121012,1329,1,812,18
19,20171126T121012,1329,1,812,18
19,20171126T121012,1329,1,812,18
19,20171126T121012,1329,1,812,18
19,20171126T121012,1329,1,812,18
19,20171126T121012,1329,1,812,18
19,20171126T121012,1329,1,812,18
19,20171126T121012,1329,1,812,18
19,20171126T121012,1329,1,812,18
19,20171126T121012,1329,1,812,18
19,20171126T121012,1329,1,812,18
19,20171126T121012,1329,1,812,18
19,20171126T121012,1329,1,812,18
19,20171126T121012,1329,1,812,18
19,20171126T121012,1329,1,812,18
19,20171126T121012,1329,1,812,18
19,20171126T121012,1329,1,812,18
19,20171126T121012,1329,1,812,18
19,20171126T121012,1329,1,812,18
19,20171126T121012,1329,1,812,18
11,20171126T115630,4676,2,902,1
11,20171126T115630,4676,2,902,1
11,20171126T115630,4676,2,902,1
11,20171126T115630,4676,2,902,1
11,20171126T115630,4676,2,902,1
11,20171126T115630,4676,2,902,1
11,20171126T115630,4676,2,902,1
11,20171126T115630,4676,2,902,1
11,20171126T115630,4676,2,902,1
11,20171126T115630,4676,2,902,1
11,20171126T115630,4676,2,902,1
11,20171126T115630,4676,2,902,1
11,20171126T115630,4676,2,902,1
11,20171126T115630,4676,2,902,1
11,20171126T115630,4676,2,902,1
11,20171126T115630,4676,2,902,1
11,20171126T115630,4676,2,902,1
11,20171126T115630,4676,2,902,1
11,20171126T115630,4676,2,902,1
11,20171126T115630,4676,2,902,1
9,20171126T120938,4455,1,496,4
9,20171126T120938,4455,1,496,4
9,20171126T120938,4455,1,496,4
9,20171126T120938,4455,1,496,4
9,20171126T120938,4455,1,496,4
9,20171126T120938,4455,1,496,4
9,20171126T120938,4455,1,496,4
9,20171126T120938,4455,1,496,4
9,20171126T120938,4455,1,496,4
9,20171126T120938,4455,1,496,4
9,20171126T120938,4455,1,496,4
9,20171126T120938,4455,1,496,4
9,20171126T120938,4455,1,496,4
9,20171126T120938,4455,1,496,4
9,20171126T120938,4455,1,496,4
9,20171126T120938,4455,1,496,4
9,20171126T120938,4455,1,496,4
9,20171126T120938,4455,1,496,4
9,20171126T120938,4455,1,496,4
9,20171126T120938,4455,1,496,4
20,20171126T112539,1894,2,233,11
20,20171126T112539,1894,2,233,11
20,20171126T112539,1894,2,233,11
20,20171126T112539,1894,2,233,11
20,20171126T112539,1894,2,233,11
20,20171126T112539,1894,2,233,11
20,20171126T112539,1894,2,233,11
20,20171126T112539,1894,2,233,11
20,20171126T112539,1894,2,233,11
20,20171126T112539,1894,2,233,11
20,20171126T112539,1894,2,233,11
20,20171126T112539,1894,2,233,11
20,20171126T112539,1894,2,233,11
20,20171126T112539,1894,2,233,11
20,20171126T112539,1894,2,233,11
20,20171126T112539,1894,2,233,11
20,20171126T112539,1894,2,233,11
20,20171126T112539,1894,2,233,11
20,20171126T112539,1894,2,233,11
20,20171126T112539,1894,2,233,11
4,20171126T113746,2734,2,763,20
4,20171126T113746,2734,2,763,20
4,20171126T113746,2734,2,763,20
4,20171126T113746,2734,2,763,20
4,20171126T113746,2734,2,763,20
4,20171126T113746,2734,2,763,20
4,20171126T113746,2734,2,763,20
4,20171126T113746,2734,2,763,20
4,20171126T113746,2734,2,763,20
4,20171126T113746,2734,2,763,20
4,20171126T113746,2734,2,763,20
4,20171126T113746,2734,2,763,20
4,20171126T113746,2734,2,763,20
4,20171126T113746,2734,2,763,20
4,20171126T113746,2734,2,763,20
4,20171126T113746,2734,2,763,20
4,20171126T113746,2734,2,763,20
4,20171126T113746,2734,2,763,20
4,20171126T113746,2734,2,763,20
4,20171126T113746,2734,2,763,20
4,20171126T114754,4843,2,883,19
4,20171126T114754,4843,2,883,19
4,20171126T114754,4843,2,883,19
4,20171126T114754,4843,2,883,19
4,20171126T114754,4843,2,883,19
4,20171126T114754,4843,2,883,19
4,20171126T114754,4843,2,883,19
4,20171126T114754,4843,2,883,19
4,20171126T114754,4843,2,883,19
4,20171126T114754,4843,2,883,19
4,20171126T114754,4843,2,883,19
4,20171126T114754,4843,2,883,19
4,20171126T114754,4843,2,883,19
4,20171126T114754,4843,2,883,19
4,20171126T114754,4843,2,883,19
4,20171126T114754,4843,2,883,19
4,20171126T114754,4843,2,883,19
4,20171126T114754,4843,2,883,19
4,20171126T114754,4843,2,883,19
4,20171126T114754,4843,2,883,19
4,20171126T114849,2120,2,329,13
4,20171126T114849,2120,2,329,13
4,20171126T114849,2120,2,329,13
4,20171126T114849,2120,2,329,13
4,20171126T114849,2120,2,329,13
4,20171126T114849,2120,2,329,13
4,20171126T114849,2120,2,329,13
4,20171126T114849,2120,2,329,13
4,20171126T114849,2120,2,329,13
4,20171126T114849,2120,2,329,13
4,20171126T114849,2120,2,329,13
4,20171126T114849,2120,2,329,13
4,20171126T114849,2120,2,329,13
4,20171126T114849,2120,2,329,13
4,20171126T114849,2120,2,329,13
4,20171126T114849,2120,2,329,13
4,20171126T114849,2120,2,329,13
4,20171126T114849,2120,2,329,13
4,20171126T114849,2120,2,329,13
4,20171126T114849,2120,2,329,13
5,20171126T120554,846,1,926,11
5,20171126T120554,846,1,926,11
5,20171126T120554,846,1,926,11
5,20171126T120554,846,1,926,11
5,20171126T120554,846,1,926,11
5,20171126T120554,846,1,926,11
5,20171126T120554,846,1,926,11
5,20171126T120554,846,1,926,11
5,20171126T120554,846,1,926,11
5,20171126T120554,846,1,926,11
5,20171126T120554,846,1,926,11
5,20171126T120554,846,1,926,11
5,20171126T120554,846,1,926,11
5,20171126T120554,846,1,926,11
5,20171126T120554,846,1,926,11
5,20171126T120554,846,1,926,11
5,20171126T120554,846,1,926,11
5,20171126T120554,846,1,926,11
5,20171126T120554,846,1,926,11
5,20171126T120554,846,1,926,11
13,20171126T114105,2705,1,315,4
13,20171126T114105,2705,1,315,4
13,20171126T114105,2705,1,315,4
13,20171126T114105,2705,1,315,4
13,20171126T114105,2705,1,315,4
13,20171126T114105,2705,1,315,4
13,20171126T114105,2705,1,315,4
13,20171126T114105,2705,1,315,4
13,20171126T114105,2705,1,315,4
13,20171126T114105,2705,1,315,4
13,20171126T114105,2705,1,315,4
13,20171126T114105,2705,1,315,4
13,20171126T114105,2705,1,315,4
13,20171126T114105,2705,1,315,4
13,20171126T114105,2705,1,315,4
13,20171126T114105,2705,1,315,4
13,20171126T114105,2705,1,315,4
13,20171126T114105,2705,1,315,4
13,20171126T114105,2705,1,315,4
13,20171126T114105,2705,1,315,4
5,20171126T113227,92,1,738,9
5,20171126T113227,92,1,738,9
5,20171126T113227,92,1,738,9
5,20171126T113227,92,1,738,9
5,20171126T113227,92,1,738,9
5,20171126T113227,92,1,738,9
5,20171126T113227,92,1,738,9
5,20171126T113227,92,1,738,9
5,20171126T113227,92,1,738,9
5,20171126T113227,92,1,738,9
5,20171126T113227,92,1,738,9
5,20171126T113227,92,1,738,9
5,20171126T113227,92,1,738,9
5,20171126T113227,92,1,738,9
5,20171126T113227,92,1,738,9
5,20171126T113227,92,1,738,9
5,20171126T113227,92,1,738,9
5,20171126T113227,92,1,738,9
5,20171126T113227,92,1,738,9
5,20171126T113227,92,1,738,9
1,20171126T115329,3517,2,832,6
1,20171126T115329,3517,2,832,6
1,20171126T115329,3517,2,832,6
1,20171126T115329,3517,2,832,6
1,20171126T115329,3517,2,832,6
1,20171126T115329,3517,2,832,6
1,20171126T115329,3517,2,832,6
1,20171126T115329,3517,2,832,6
1,20171126T115329,3517,2,832,6
1,20171126T115329,3517,2,832,6
1,20171126T115329,3517,2,832,6
1,20171126T115329,3517,2,832,6
1,20171126T115329,3517,2,832,6
1,20171126T115329,3517,2,832,6
1,20171126T115329,3517,2,832,6
1,20171126T115329,3517,2,832,6
1,20171126T115329,3517,2,832,6
1,20171126T115329,3517,2,832,6
1,20171126T115329,3517,2,832,6
1,20171126T115329,3517,2,832,6
11,20171126T114302,1157,1,516,2
11,20171126T114302,1157,1,516,2
11,20171126T114302,1157,1,516,2
11,20171126T114302,1157,1,516,2
11,20171126T114302,1157,1,516,2
11,20171126T114302,1157,1,516,2
11,20171126T114302,1157,1,516,2
11,20171126T114302,1157,1,516,2
11,20171126T114302,1157,1,516,2
11,20171126T114302,1157,1,516,2
11,20171126T114302,1157,1,516,2
11,20171126T114302,1157,1,516,2
11,20171126T114302,1157,1,516,2
11,20171126T114302,1157,1,516,2
11,20171126T114302,1157,1,516,2
11,20171126T114302,1157,1,516,2
11,20171126T114302,1157,1,516,2
11,20171126T114302,1157,1,516,2
11,20171126T114302,1157,1,516,2
11,20171126T114302,1157,1,516,2
1,20171126T120330,4553,1,734,3
1,20171126T120330,4553,1,734,3
1,20171126T120330,4553,1,734,3
1,20171126T120330,4553,1,734,3
1,20171126T120330,4553,1,734,3
1,20171126T120330,4553,1,734,3
1,20171126T120330,4553,1,734,3
1,20171126T120330,4553,1,734,3
1,20171126T120330,4553,1,734,3
1,20171126T120330,4553,1,734,3
1,20171126T120330,4553,1,734,3
1,20171126T120330,4553,1,734,3
1,20171126T120330,4553,1,734,3
1,20171126T120330,4553,1,734,3
1,20171126T120330,4553,1,734,3
1,20171126T120330,4553,1,734,3
1,20171126T120330,4553,1,734,3
1,20171126T120330,4553,1,734,3
1,20171126T120330,4553,1,734,3
1,20171126T120330,4553,1,734,3
5,20171126T112445,253,2,536,13
5,20171126T112445,253,2,536,13
5,20171126T112445,253,2,536,13
5,20171126T112445,253,2,536,13
5,20171126T112445,253,2,536,13
5,20171126T112445,253,2,536,13
5,20171126T112445,253,2,536,13
5,20171126T112445,253,2,536,13
5,20171126T112445,253,2,536,13
5,20171126T112445,253,2,536,13
5,20171126T112445,253,2,536,13
5,20171126T112445,253,2,536,13
5,20171126T112445,253,2,536,13
5,20171126T112445,253,2,536,13
5,20171126T112445,253,2,536,13
5,20171126T112445,253,2,536,13
5,20171126T112445,253,2,536,13
5,20171126T112445,253,2,536,13
5,20171126T112445,253,2,536,13
5,20171126T112445,253,2,536,13
2,20171126T120628,1490,2,536,2
2,20171126T120628,1490,2,536,2
2,20171126T120628,1490,2,536,2
2,20171126T120628,1490,2,536,2
2,20171126T120628,1490,2,536,2
2,20171126T120628,1490,2,536,2
2,20171126T120628,1490,2,536,2
2,20171126T120628,1490,2,536,2
2,20171126T120628,1490,2,536,2
2,20171126T120628,1490,2,536,2
2,20171126T120628,1490,2,536,2
2,20171126T120628,1490,2,536,2
2,20171126T120628,1490,2,536,2
2,20171126T120628,1490,2,536,2
2,20171126T120628,1490,2,536,2
2,20171126T120628,1490,2,536,2
2,20171126T120628,1490,2,536,2
2,20171126T120628,1490,2,536,2
2,20171126T120628,1490,2,536,2
2,20171126T120628,1490,2,536,2
7,20171126T113636,3800,2,623,3
7,20171126T113636,3800,2,623,3
7,20171126T113636,3800,2,623,3
7,20171126T113636,3800,2,623,3
7,20171126T113636,3800,2,623,3
7,20171126T113636,3800,2,623,3
7,20171126T113636,3800,2,623,3
7,20171126T113636,3800,2,623,3
7,20171126T113636,3800,2,623,3
7,20171126T113636,3800,2,623,3
7,20171126T113636,3800,2,623,3
7,20171126T113636,3800,2,623,3
7,20171126T113636,3800,2,623,3
7,20171126T113636,3800,2,623,3
7,20171126T113636,3800,2,623,3
7,20171126T113636,3800,2,623,3
7,20171126T113636,3800,2,623,3
7,20171126T113636,3800,2,623,3
7,20171126T113636,3800,2,623,3
7,20171126T113636,3800,2,623,3
10,20171126T115409,2102,2,398,4
10,20171126T115409,2102,2,398,4
10,20171126T115409,2102,2,398,4
10,20171126T115409,2102,2,398,4
10,20171126T115409,2102,2,398,4
10,20171126T115409,2102,2,398,4
10,20171126T115409,2102,2,398,4
10,20171126T115409,2102,2,398,4
10,20171126T115409,2102,2,398,4
10,20171126T115409,2102,2,398,4
10,20171126T115409,2102,2,398,4
10,20171126T115409,2102,2,398,4
10,20171126T115409,2102,2,398,4
10,20171126T115409,2102,2,398,4
10,20171126T115409,2102,2,398,4
10,20171126T115409,2102,2,398,4
10,20171126T115409,2102,2,398,4
10,20171126T115409,2102,2,398,4
10,20171126T115409,2102,2,398,4
10,20171126T115409,2102,2,398,4
5,20171126T113510,256,1,378,6
5,20171126T113510,256,1,378,6
5,20171126T113510,256,1,378,6
5,20171126T113510,256,1,378,6
5,20171126T113510,256,1,378,6
5,20171126T113510,256,1,378,6
5,20171126T113510,256,1,378,6
5,20171126T113510,256,1,378,6
5,20171126T113510,256,1,378,6
5,20171126T113510,256,1,378,6
5,20171126T113510,256,1,378,6
5,20171126T113510,256,1,378,6
5,20171126T113510,256,1,378,6
5,20171126T113510,256,1,378,6
5,20171126T113510,256,1,378,6
5,20171126T113510,256,1,378,6
5,20171126T113510,256,1,378,6
5,20171126T113510,256,1,378,6
5,20171126T113510,256,1,378,6
5,20171126T113510,256,1,378,6
5,20171126T113217,4150,1,834,4
5,20171126T113217,4150,1,834,4
5,20171126T113217,4150,1,834,4
5,20171126T113217,4150,1,834,4
5,20171126T113217,4150,1,834,4
5,20171126T113217,4150,1,834,4
5,20171126T113217,4150,1,834,4
5,20171126T113217,4150,1,834,4
5,20171126T113217,4150,1,834,4
5,20171126T113217,4150,1,834,4
5,20171126T113217,4150,1,834,4
5,20171126T113217,4150,1,834,4
5,20171126T113217,4150,1,834,4
5,20171126T113217,4150,1,834,4
5,20171126T113217,4150,1,834,4
5,20171126T113217,4150,1,834,4
5,20171126T113217,4150,1,834,4
5,20171126T113217,4150,1,834,4
5,20171126T113217,4150,1,834,4
5,20171126T113217,4150,1,834,4
18,20171126T112018,2486,2,436,14
18,20171126T112018,2486,2,436,14
18,20171126T112018,2486,2,436,14
18,20171126T112018,2486,2,436,14
18,20171126T112018,2486,2,436,14
18,20171126T112018,2486,2,436,14
18,20171126T112018,2486,2,436,14
18,20171126T112018,2486,2,436,14
18,20171126T112018,2486,2,436,14
18,20171126T112018,2486,2,436,14
18,20171126T112018,2486,2,436,14
18,20171126T112018,2486,2,436,14
18,20171126T112018,2486,2,436,14
18,20171126T112018,2486,2,436,14
18,20171126T112018,2486,2,436,14
18,20171126T112018,2486,2,436,14
18,20171126T112018,2486,2,436,14
18,20171126T112018,2486,2,436,14
18,20171126T112018,2486,2,436,14
18,20171126T112018,2486,2,436,14
2,20171126T112536,2903,2,716,7
2,20171126T112536,2903,2,716,7
2,20171126T112536,2903,2,716,7
2,20171126T112536,2903,2,716,7
2,20171126T112536,2903,2,716,7
2,20171126T112536,2903,2,716,7
2,20171126T112536,2903,2,716,7
2,20171126T112536,2903,2,716,7
2,20171126T112536,2903,2,716,7
2,20171126T112536,2903,2,716,7
2,20171126T112536,2903,2,716,7
2,20171126T112536,2903,2,716,7
2,20171126T112536,2903,2,716,7
2,20171126T112536,2903,2,716,7
2,20171126T112536,2903,2,716,7
2,20171126T112536,2903,2,716,7
2,20171126T112536,2903,2,716,7
2,20171126T112536,2903,2,716,7
2,20171126T112536,2903,2,716,7
2,20171126T112536,2903,2,716,7
12,20171126T114833,4446,2,44,15
12,20171126T114833,4446,2,44,15
12,20171126T114833,4446,2,44,15
12,20171126T114833,4446,2,44,15
12,20171126T114833,4446,2,44,15
12,20171126T114833,4446,2,44,15
12,20171126T114833,4446,2,44,15
12,20171126T114833,4446,2,44,15
12,20171126T114833,4446,2,44,15
12,20171126T114833,4446,2,44,15
12,20171126T114833,4446,2,44,15
12,20171126T114833,4446,2,44,15
12,20171126T114833,4446,2,44,15
12,20171126T114833,4446,2,44,15
12,20171126T114833,4446,2,44,15
12,20171126T114833,4446,2,44,15
12,20171126T114833,4446,2,44,15
12,20171126T114833,4446,2,44,15
12,20171126T114833,4446,2,44,15
12,20171126T114833,4446,2,44,15
15,20171126T114508,2985,1,622,4
15,20171126T114508,2985,1,622,4
15,20171126T114508,2985,1,622,4
15,20171126T114508,2985,1,622,4
15,20171126T114508,2985,1,622,4
15,20171126T114508,2985,1,622,4
15,20171126T114508,2985,1,622,4
15,20171126T114508,2985,1,622,4
15,20171126T114508,2985,1,622,4
15,20171126T114508,2985,1,622,4
15,20171126T114508,2985,1,622,4
15,20171126T114508,2985,1,622,4
15,20171126T114508,2985,1,622,4
15,20171126T114508,2985,1,622,4
15,20171126T114508,2985,1,622,4
15,20171126T114508,2985,1,622,4
15,20171126T114508,2985,1,622,4
15,20171126T114508,2985,1,622,4
15,20171126T114508,2985,1,622,4
15,20171126T114508,2985,1,622,4
6,20171126T115108,586,1,714,10
6,20171126T115108,586,1,714,10
6,20171126T115108,586,1,714,10
6,20171126T115108,586,1,714,10
6,20171126T115108,586,1,714,10
6,20171126T115108,586,1,714,10
6,20171126T115108,586,1,714,10
6,20171126T115108,586,1,714,10
6,20171126T115108,586,1,714,10
6,20171126T115108,586,1,714,10
6,20171126T115108,586,1,714,10
6,20171126T115108,586,1,714,10
6,20171126T115108,586,1,714,10
6,20171126T115108,586,1,714,10
6,20171126T115108,586,1,714,10
6,20171126T115108,586,1,714,10
6,20171126T115108,586,1,714,10
6,20171126T115108,586,1,714,10
6,20171126T115108,586,1,714,10
6,20171126T115108,586,1,714,10
8,20171126T112907,1461,2,565,1
8,20171126T112907,1461,2,565,1
8,20171126T112907,1461,2,565,1
8,20171126T112907,1461,2,565,1
8,20171126T112907,1461,2,565,1
8,20171126T112907,1461,2,565,1
8,20171126T112907,1461,2,565,1
8,20171126T112907,1461,2,565,1
8,20171126T112907,1461,2,565,1
8,20171126T112907,1461,2,565,1
8,20171126T112907,1461,2,565,1
8,20171126T112907,1461,2,565,1
8,20171126T112907,1461,2,565,1
8,20171126T112907,1461,2,565,1
8,20171126T112907,1461,2,565,1
8,20171126T112907,1461,2,565,1
8,20171126T112907,1461,2,565,1
8,20171126T112907,1461,2,565,1
8,20171126T112907,1461,2,565,1
8,20171126T112907,1461,2,565,1
11,20171126T114149,2994,2,261,6
11,20171126T114149,2994,2,261,6
11,20171126T114149,2994,2,261,6
